Actor_ID,Settlement_ID,Sector_ID
40,12,5
2,12,5
5,12,5
51,12,5
1,12,5
21,12,5
46,12,8
6,12,8
2,12,8
21,12,8
2,12,9
51,12,9
21,12,9
2,12,10
12,12,10
8,12,10
38,12,11
38,12,13
2,13,1
1,13,1
21,13,1
2,13,2
21,13,2
2,13,3
21,13,3
40,13,4
2,13,4
3,13,4
44,13,5
42,13,5
40,13,5
2,13,5
5,13,5
51,13,5
29,13,5
1,13,5
3,13,5
21,13,5
17,13,5
4,13,9
2,13,9
51,13,9
21,13,9
2,13,10
41,13,10
12,13,10
8,13,10
47,13,11
4,13,11
2,13,11
37,13,11
51,13,11
38,13,11
3,13,11
44,13,13
2,13,13
49,13,13
38,13,13
3,13,13
7,13,13
21,13,13
19,13,13
42,13,14
2,13,14
41,13,14
53,13,14
1,13,14
30,13,14
21,13,14
2,14,1
1,14,1
2,14,2
2,14,3
2,14,4
40,14,5
2,14,5
5,14,5
51,14,5
1,14,5
25,14,5
2,14,9
51,14,9
2,14,10
1,14,10
12,14,10
1,15,1
2,15,2
1,15,2
2,15,3
2,15,4
51,15,4
25,15,4
42,15,5
40,15,5
4,15,5
2,15,5
5,15,5
31,15,5
51,15,5
1,15,5
32,15,5
25,15,5
2,15,10
12,15,10
2,15,11
31,15,11
51,15,11
2,15,12
8,15,12
2,15,13
31,15,13
21,15,13
2,15,14
31,15,14
35,15,14
2,16,1
1,16,1
2,16,2
2,16,3
4,16,4
2,16,4
34,16,4
10,16,4
46,16,5
42,16,5
4,16,5
2,16,5
5,16,5
31,16,5
34,16,5
1,16,5
25,16,5
15,16,5
10,16,5
46,16,11
4,16,11
51,16,11
34,16,11
25,16,11
21,16,11
31,16,13
41,16,13
51,16,13
38,16,13
18,16,13
42,16,14
2,16,14
5,16,14
1,16,14
25,16,14
15,16,14
2,17,1
1,17,1
2,17,2
1,17,2
2,17,3
56,17,3
2,17,4
56,17,4
4,17,5
2,17,5
1,17,5
56,17,5
2,17,11
46,17,13
60,18,5
14,18,5
42,18,11
4,18,11
5,18,11
63,18,12
63,18,13
22,18,13
14,18,13
15,18,14
60,19,4
60,19,5
14,19,5
4,19,11
63,19,12
63,19,13
15,19,14
40,20,1
1,20,1
1,20,2
40,20,4
46,20,5
40,20,5
5,20,5
51,20,5
1,20,5
25,20,5
46,20,13
18,20,13
40,20,14
25,20,14
2,21,1
2,21,2
49,21,4
18,21,4
2,21,5
5,21,5
49,21,5
26,21,5
18,21,5
16,21,5
56,21,12
26,21,12
49,21,13
56,21,13
50,21,13
26,21,13
18,21,13
14,21,14
21,22,3
21,22,4
21,22,5
63,22,12
21,22,13
2,22,14
21,22,14
15,22,14
